account_age_days,has_profile_photo,has_bio,name_has_numbers,name_length,name_entropy,is_verified,followers_count,following_count,ff_ratio,mutual_follow_rate,listed_count,total_posts,avg_daily_posts,posting_hour_std,repost_ratio,reply_ratio,burst_score,inactive_days_ratio,avg_hashtags_per_post,avg_urls_per_post,duplicate_post_ratio,sentiment_variance,content_diversity,spam_keyword_score,mention_ratio,account_age_activity_ratio,followers_growth_rate,label
113,0,1,1,10,4.187402628074506,0,75,613,0.13973438220490858,0.08740937322659742,1,628,13.040306273070254,1.9561472117447365,0.6333851404121807,0.14899252743548888,0.8329461040176713,0.6658492950609807,5.351192058545791,0.5820832547708015,0.8619755173417941,0.36133851252858684,0.055004077279840635,0.9431428735426952,0.8609373657308469,5.508771929824562,6.1279312187879995,1
485,1,1,0,6,2.79099180937906,0,987,18,50.917940125513,0.7812710612315675,2,27,0.26073464821730186,3.536909073111627,0.34950465798105823,0.6366848460996417,0.36160365763869945,0.3426324075503576,1.4771385857101014,0.30565574213885593,0.07244384189135131,0.6342388784575205,0.7486125055255882,0.019678102622440945,0.23273263014410178,0.05555555555555555,0.9749873821250192,0
760,1,0,0,9,3.1136673140969306,0,37,34,0.3217299933416571,0.7477679583683521,1,67,3.5835122409940805,2.1525546271775693,0.6797906008593201,0.40904379092841314,0.33391403896314503,0.23445044664744166,1.5122604203981167,0.42458001386416655,0.05362953076223193,0.6029787732114228,0.3968525523715876,0.0936809618086643,0.2455303290377718,0.08804204993429698,1.6577471387705685,0
900,1,1,0,9,1.895359436560206,0,37,165,0.0,0.8354679318851425,2,43,0.49494920738138637,9.352087883254008,0.6034754283722432,0.2432877450969384,0.26676353627828453,0.16726375483147854,3.216548212401973,0.24395211262785063,0.3350542155261726,0.7037723192235826,0.6095847949350824,0.09226989192981606,0.45939328317040096,0.04772475027746948,-1.9215052619624755,0
1329,1,1,1,8,2.2607536017335765,0,72,96,0.0,0.899322665330906,19,18,1.586455052024895,5.980278789775272,0.08847203602278436,0.55574158927811,0.32252221859867103,0.16368786568385385,1.6749486076370184,0.19475770977808263,0.09998047367060796,0.22437926963653665,0.6279960612917549,0.25476652596736166,0.516812810728479,0.013533834586466165,1.218739017583971,0
170,1,1,1,18,4.105787207691618,0,279,347,2.5695898614535757,0.08444763545165007,2,4992,12.344301000012218,3.11633830279002,0.8832289669183865,0.3084415106097658,0.7926272473010139,0.7398640764964318,14.213117826999149,0.49247544214542627,0.43478042700006786,0.2573961921867991,0.07030981354990552,0.8114018892030708,0.6254658272625472,29.19298245614035,0.5423014443379621,1
994,1,1,0,13,3.3088613718466906,0,141,114,1.0536530973778855,0.718570483058308,1,1703,1.8942533095953702,8.51538758521412,0.5908715049101156,0.35240567493841424,0.18481518679742162,0.23030815267995766,4.629382982667171,0.16533598004009217,0.03550162019943109,0.3008621478432424,0.702313172025728,0.04335061408501786,0.47467105002789933,1.7115577889447235,-0.04167432357703016,0
959,1,1,0,5,2.8973285548234307,0,3881,38,98.8306184178079,0.5329668455634421,1,924,8.295333442780146,6.775115434250361,0.5124082342653161,0.341846248014275,0.2653789418637997,0.36947253836944677,1.9040471522841427,0.01938724964219287,0.007466618124330595,0.6892841997939213,0.7772174179923894,0.033324577853651526,0.0095382704367407,0.9625,0.9948999508442435,0
313,1,0,0,13,3.8718088087823417,0,61,3552,1.2837028309251812,0.021912496750197158,3,8085,22.627309919702135,1.5870754130386828,0.9004753465011298,0.22335001484401795,0.8864447952097487,0.8414306769363883,31.28711520810419,0.7175203815117828,0.37260404924841406,0.22196484427075858,0.34603911624812017,0.8829022577445709,0.601132445878361,25.748407643312103,2.4640537954298236,1
877,0,1,0,11,3.0258738847503857,0,13,89,0.6137678427898176,0.4180200300171624,0,332,3.0302731716191413,3.6695207517459547,0.2856740933421752,0.3735133698788568,0.1924340780379402,0.21986424899697568,5.827476771614267,0.5791418852821686,0.39286055665892244,0.7102574205429364,0.7329940655640704,0.15014920809131935,0.4592518731983701,0.37813211845102507,-0.2526659783990097,0
